@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27}

@data
1,'2021/12/16 16:32:26:834',1,920,934,918,801,925,1
2,'2021/12/16 16:32:28:871',1,916,929,913,807,923,1
3,'2021/12/16 16:32:30:899',1,913,927,910,808,923,1
4,'2021/12/16 16:32:32:926',1,910,924,906,808,921,1
5,'2021/12/16 16:32:34:956',1,909,922,906,809,921,1
6,'2021/12/16 16:32:45:100',2,721,659,638,895,797,2
7,'2021/12/16 16:32:47:129',2,720,657,637,894,796,2
8,'2021/12/16 16:32:49:163',2,719,656,637,892,796,2
9,'2021/12/16 16:32:51:192',2,718,656,637,892,799,2
10,'2021/12/16 16:32:53:216',2,718,656,637,891,797,2
11,'2021/12/16 16:32:57:267',3,787,764,736,870,830,3
12,'2021/12/16 16:32:59:296',3,782,758,731,876,830,3
13,'2021/12/16 16:33:01:307',3,778,754,726,876,829,3
14,'2021/12/16 16:33:03:342',3,773,750,723,873,828,3
15,'2021/12/16 16:33:05:367',3,773,747,721,873,829,3
16,'2021/12/16 16:33:15:558',4,684,915,933,891,899,4
17,'2021/12/16 16:33:17:592',4,686,901,925,889,896,4
18,'2021/12/16 16:33:19:609',4,687,893,917,889,896,4
19,'2021/12/16 16:33:21:641',4,688,878,910,886,896,4
20,'2021/12/16 16:33:23:672',4,690,868,904,886,896,4
21,'2021/12/16 16:33:33:805',5,884,918,935,893,922,5
22,'2021/12/16 16:33:35:830',5,878,899,926,884,919,5
23,'2021/12/16 16:33:37:852',5,872,889,921,879,917,5
24,'2021/12/16 16:33:39:875',5,870,887,919,878,917,5
25,'2021/12/16 16:33:41:906',5,862,867,909,872,912,5
26,'2021/12/16 16:33:50:005',6,919,656,648,900,754,6
27,'2021/12/16 16:33:52:034',6,915,655,646,897,752,6
28,'2021/12/16 16:33:54:063',6,914,655,645,898,751,6
29,'2021/12/16 16:33:56:097',6,913,654,645,897,751,6
30,'2021/12/16 16:33:58:155',6,912,655,645,896,753,6
31,'2021/12/16 16:34:14:364',7,707,936,880,867,873,7
32,'2021/12/16 16:34:16:382',7,707,935,880,868,871,7
33,'2021/12/16 16:34:22:452',8,706,664,868,848,880,8
34,'2021/12/16 16:34:24:486',8,707,664,864,848,880,8
35,'2021/12/16 16:35:07:095',9,827,829,714,914,741,9
